character_name,uri
主人公,http://www.konami.jp/gs/game/genso/II/hero2.html
アイリ,http://www.konami.jp/gs/game/genso/II/eilie.html
アガレス,http://www.konami.jp/gs/game/genso/II/agares.html
アダリー,http://www.konami.jp/gs/game/genso/II/adlai.html
アップル,http://www.konami.jp/gs/game/genso/II/apple.html
アビスボア,http://www.konami.jp/gs/game/genso/II/adiz.html
アナベル,http://www.konami.jp/gs/game/genso/II/anabell.html
アニタ,http://www.konami.jp/gs/game/genso/II/anita.html
アマダ,http://www.konami.jp/gs/game/genso/II/amada.html
アルバート,http://www.konami.jp/gs/game/genso/II/alberto.html
アレックス,http://www.konami.jp/gs/game/genso/II/alex.html
アンネリー,http://www.konami.jp/gs/game/genso/II/annalee.html
ヴァンサン・ド・ブール,http://www.konami.jp/gs/game/genso/II/vincent.html
エイダ,http://www.konami.jp/gs/game/genso/II/ayda.html
エミリア,http://www.konami.jp/gs/game/genso/II/emilia.html
オウラン,http://www.konami.jp/gs/game/genso/II/oulan.html
カーン,http://www.konami.jp/gs/game/genso/II/kahn.html
カスミ,http://www.konami.jp/gs/game/genso/II/kasumi.html
ガボチャ,http://www.konami.jp/gs/game/genso/II/gabocha.html
カミュー,http://www.konami.jp/gs/game/genso/II/camus.html
からくり丸,http://www.konami.jp/gs/game/genso/II/karakuri.html
カレン,http://www.konami.jp/gs/game/genso/II/karen.html
ガンテツ,http://www.konami.jp/gs/game/genso/II/gantetu.html
ギジム,http://www.konami.jp/gs/game/genso/II/gijimu.html
キバ,http://www.konami.jp/gs/game/genso/II/kiba.html
キニスン,http://www.konami.jp/gs/game/genso/II/kinnison.html
キリィ,http://www.konami.jp/gs/game/genso/II/killy.html
ギルバート,http://www.konami.jp/gs/game/genso/II/gil.html
グスタフ,http://www.konami.jp/gs/game/genso/II/gusutav.html
クライブ,http://www.konami.jp/gs/game/genso/II/clive.html
クラウス,http://www.konami.jp/gs/game/genso/II/klaus.html
グランマイヤー,http://www.konami.jp/gs/game/genso/II/granmye.html
クルガン,http://www.konami.jp/gs/game/genso/II/culgan.html
ゲオルグ・プライム,http://www.konami.jp/gs/game/genso/II/georg.html
ゲンゲン,http://www.konami.jp/gs/game/genso/II/genger.html
ゲンシュウ,http://www.konami.jp/gs/game/genso/II/gensyu.html
コウユウ,http://www.konami.jp/gs/game/genso/II/koyu.html
ゴートン,http://www.konami.jp/gs/game/genso/II/goton.html
コーネル,http://www.konami.jp/gs/game/genso/II/connel.html
ゴルドー,http://www.konami.jp/gs/game/genso/II/gorudo.html
ササライ,http://www.konami.jp/gs/game/genso/II/sasarai.html
サスケ,http://www.konami.jp/gs/game/genso/II/sasuke.html
ザムザ,http://www.konami.jp/gs/game/genso/II/zamza.html
ジークフリード,http://www.konami.jp/gs/game/genso/II/sigfried.html
シード,http://www.konami.jp/gs/game/genso/II/seed.html
シーナ,http://www.konami.jp/gs/game/genso/II/sheena.html
ジーン,http://www.konami.jp/gs/game/genso/II/jeane.html
シエラ,http://www.konami.jp/gs/game/genso/II/sierra.html
ジェス,http://www.konami.jp/gs/game/genso/II/jess.html
シド,http://www.konami.jp/gs/game/genso/II/sid.html
シモーヌ・ベルドリッチ,http://www.konami.jp/gs/game/genso/II/shimone.html
ジル,http://www.konami.jp/gs/game/genso/II/jillia.html
シロ,http://www.konami.jp/gs/game/genso/II/shiro.html
シロウ,http://www.konami.jp/gs/game/genso/II/shirou.html
ジュド,http://www.konami.jp/gs/game/genso/II/jede.html
シュウ,http://www.konami.jp/gs/game/genso/II/shu.html
ジョウイ,http://www.konami.jp/gs/game/genso/II/joei.html
シン,http://www.konami.jp/gs/game/genso/II/shin.html
スタリオン,http://www.konami.jp/gs/game/genso/II/stallion.html
ソロン・ジー,http://www.konami.jp/gs/game/genso/II/solon.html
タイ・ホー,http://www.konami.jp/gs/game/genso/II/taiho.html
タキ,http://www.konami.jp/gs/game/genso/II/taki.html
チャコ,http://www.konami.jp/gs/game/genso/II/chaco.html
ツァイ,http://www.konami.jp/gs/game/genso/II/tsai.html
テレーズ,http://www.konami.jp/gs/game/genso/II/teresa.html
テツ,http://www.konami.jp/gs/game/genso/II/tetsu.html
テッサイ,http://www.konami.jp/gs/game/genso/II/tessai.html
テンガアール,http://www.konami.jp/gs/game/genso/II/tengaar.html
テンコウ,http://www.konami.jp/gs/game/genso/II/tenkou.html
テンプルトン,http://www.konami.jp/gs/game/genso/II/templton.html
トウタ,http://www.konami.jp/gs/game/genso/II/tuta.html
トニー,http://www.konami.jp/gs/game/genso/II/tony.html
トモ,http://www.konami.jp/gs/game/genso/II/tomo.html
ナナミ,http://www.konami.jp/gs/game/genso/II/nanami.html
ニナ,http://www.konami.jp/gs/game/genso/II/nina.html
ネクロード,http://www.konami.jp/gs/game/genso/II/necroad.html
ハーン,http://www.konami.jp/gs/game/genso/II/han.html
バーバラ,http://www.konami.jp/gs/game/genso/II/barbara.html
ハイ・ヨー,http://www.konami.jp/gs/game/genso/II/haiyo.html
ハウザー,http://www.konami.jp/gs/game/genso/II/hauzer.html
バド,http://www.konami.jp/gs/game/genso/II/badeaux.html
バレリア,http://www.konami.jp/gs/game/genso/II/bvaleria.html
ハンス,http://www.konami.jp/gs/game/genso/II/hans.html
ハンナ,http://www.konami.jp/gs/game/genso/II/hanna.html
ハンフリー,http://www.konami.jp/gs/game/genso/II/humphrey.html
ビクトール,http://www.konami.jp/gs/game/genso/II/viktor2.html
ピコ,http://www.konami.jp/gs/game/genso/II/pico.html
